name;short_name;county_id
"COLEGIUL NAȚIONAL ""GHEORGHE ȘINCAI"" CLUJ-NAPOCA";"COLEGIUL NAȚIONAL ""GHEORGHE ȘINCAI"" CLUJ-NAPOCA";CLUJ
"COLEGIUL NAȚIONAL ""GHEORGHE ȚIȚEICA""";"COL.NAT.""G.TITEICA""";MEHEDINŢI
"COLEGIUL NAŢIONAL ""GHEORGHE VRĂNCEANU"" BACĂU";"COLEGIUL NAŢIONAL ""GHEORGHE VRĂNCEANU"" BACĂU";BACĂU
"Colegiul Naţional ""Grigore Moisil""";"Col. Naţ. ""Grigore Moisil""";MUNICIPIUL BUCUREŞTI
"COLEGIUL NAŢIONAL ""GRIGORE MOISIL"" ONEŞTI";"COLEGIUL NAŢIONAL ""GRIGORE MOISIL"" ONEŞTI";BACĂU
"COLEGIUL NAȚIONAL ""IANCU DE HUNEDOARA"" HUNEDOARA";"COLEGIUL NAȚIONAL ""IANCU DE HUNEDOARA"" HUNEDOARA";HUNEDOARA
COLEGIUL NAȚIONAL, IAŞI;COL NATIONAL IASI;IAŞI
COLEGIUL NAȚIONAL ”IENĂCHIȚĂ VĂCĂRESCU” TÂRGOVIȘTE;COLEGIUL NAȚIONAL ”IENĂCHIȚĂ VĂCĂRESCU” TÂRGOVIȘT;DÂMBOVIŢA
"Colegiul Naţional ""I.L.Caragiale""";"Colegiul Naţional ""I.L.Caragiale""";MUNICIPIUL BUCUREŞTI
"COLEGIUL NAŢIONAL ""IOAN SLAVICI"" SATU MARE";CN I. SLAVICI;SATU MARE
"COLEGIUL NAȚIONAL ""ION C. BRĂTIANU"" PITEȘTI";CN I.C. BRĂTIANU PITEȘTI;ARGEŞ
"Colegiul Naţional ""Ion Creangă""";"Col. Naţ.""Ion Creangă""";MUNICIPIUL BUCUREŞTI
COLEGIUL NAȚIONAL ”ION LUCA CARAGIALE” MORENI;COLEGIUL NAȚIONAL ”ION LUCA CARAGIALE” MORENI;DÂMBOVIŢA
"COLEGIUL NAȚIONAL ""ION LUCA CARAGIALE"", MUNICIPIUL PLOIEȘTI";"COLEGIUL ""IL.CARAGIALE"" PLOIESTI";PRAHOVA
"COLEGIUL NAȚIONAL ""ION MAIORESCU"" GIURGIU";"COL.NAT.""ION MAIORESCU""";GIURGIU
